product_code,normalized_group,normalized_part_type,normalized_category_name,ai_candidate_yn,source_rule,confidence,reviewed_yn
126795,core_part,POWER,파워서플라이,TRUE,"product_name:파워|POWER|파워서플라이|[0-9]{3,4}W|80PLUS|BRONZE|GOLD|PLATINUM|TITANIUM",0.95,FALSE
126794,core_part,POWER,파워서플라이,TRUE,"product_name:파워|POWER|파워서플라이|[0-9]{3,4}W|80PLUS|BRONZE|GOLD|PLATINUM|TITANIUM",0.95,FALSE
126804,core_part,POWER,파워서플라이,TRUE,"product_name:파워|POWER|파워서플라이|[0-9]{3,4}W|80PLUS|BRONZE|GOLD|PLATINUM|TITANIUM",0.95,FALSE
126803,core_part,POWER,파워서플라이,TRUE,"product_name:파워|POWER|파워서플라이|[0-9]{3,4}W|80PLUS|BRONZE|GOLD|PLATINUM|TITANIUM",0.95,FALSE
126837,core_part,POWER,파워서플라이,TRUE,"product_name:파워|POWER|파워서플라이|[0-9]{3,4}W|80PLUS|BRONZE|GOLD|PLATINUM|TITANIUM",0.95,FALSE
126836,core_part,POWER,파워서플라이,TRUE,"product_name:파워|POWER|파워서플라이|[0-9]{3,4}W|80PLUS|BRONZE|GOLD|PLATINUM|TITANIUM",0.95,FALSE
126723,core_part,POWER,파워서플라이,TRUE,"product_name:파워|POWER|파워서플라이|[0-9]{3,4}W|80PLUS|BRONZE|GOLD|PLATINUM|TITANIUM",0.95,FALSE
126722,core_part,POWER,파워서플라이,TRUE,"product_name:파워|POWER|파워서플라이|[0-9]{3,4}W|80PLUS|BRONZE|GOLD|PLATINUM|TITANIUM",0.95,FALSE
126780,core_part,POWER,파워서플라이,TRUE,"product_name:파워|POWER|파워서플라이|[0-9]{3,4}W|80PLUS|BRONZE|GOLD|PLATINUM|TITANIUM",0.95,FALSE
100020,cable_accessory,CABLE,케이블/젠더,FALSE,product_name:케이블|젠더|HDMI|DP|DisplayPort|USB|Type-C|랜케이블,0.92,FALSE
103758,core_part,CASE,본체 케이스,TRUE,product_name:케이스|CASE|미들타워|미니타워|빅타워|랙마운트|슬림|강화유리,0.88,FALSE
103754,core_part,COOLER_CPU_AIO,CPU 수랭쿨러,TRUE,category2:CPU쿨러|수냉쿨러|수랭쿨러,0.94,FALSE
103753,core_part,COOLER_CPU_AIO,CPU 수랭쿨러,TRUE,product_name:수랭|수냉|수냉쿨러|240|280|360|480,0.93,FALSE
103752,core_part,COOLER_CPU_AIO,CPU 수랭쿨러,TRUE,product_name:수랭|수냉|수냉쿨러|240|280|360|480,0.93,FALSE
101950,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,1,FALSE
101246,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,0.88,FALSE
101255,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,1,FALSE
