product_code,detected_group,detected_part_type,detected_confidence,conflict_reason,review_status
100657,core_part,MB,0.88,"원본 카테고리와 상품명 분류 충돌: GPU / AI 추천 후보 필수 product_specs 누락: socket, chipset, mem_type, form_factor",대기
100656,core_part,MB,0.88,"원본 카테고리와 상품명 분류 충돌: GPU / AI 추천 후보 필수 product_specs 누락: socket, chipset, mem_type, form_factor",대기
100660,core_part,MB,0.88,"원본 카테고리와 상품명 분류 충돌: GPU / AI 추천 후보 필수 product_specs 누락: socket, chipset, mem_type, form_factor",대기
100658,core_part,MB,0.88,"원본 카테고리와 상품명 분류 충돌: GPU / AI 추천 후보 필수 product_specs 누락: socket, chipset, mem_type, form_factor",대기
100661,core_part,MB,0.88,"원본 카테고리와 상품명 분류 충돌: GPU / AI 추천 후보 필수 product_specs 누락: socket, chipset, mem_type, form_factor",대기
116366,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
108638,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
111436,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
103643,core_part,GPU,0.95,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
104153,core_part,GPU,0.98,AI 추천 후보 필수 product_specs 누락: tdp_watt|required_power_watt,대기
103110,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
106345,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
112910,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
116363,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
116359,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
112829,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
123711,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
123715,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
121193,core_part,COOLER_CPU_AIO,0.93,AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
121192,core_part,COOLER_CPU_AIO,0.93,AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
121191,core_part,COOLER_CPU_AIO,0.93,AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
121190,core_part,COOLER_CPU_AIO,0.93,AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
121189,core_part,COOLER_CPU_AIO,0.93,AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
121188,core_part,COOLER_CPU_AIO,0.93,AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
104820,core_part,GPU,0.98,AI 추천 후보 필수 product_specs 누락: tdp_watt|required_power_watt,대기
103108,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
103354,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
106310,core_part,GPU,0.98,AI 추천 후보 필수 product_specs 누락: tdp_watt|required_power_watt,대기
111001,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
111002,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
109732,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
109743,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
111432,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
113606,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
115333,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
113440,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
113588,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
113390,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
